instance,greedy_delta_mean,greedy_delta_median,greedy_delta_cv,greedy_delta_skew,gini_pw,pw_cv,pw_skew,pw_iw_corr,cap_tight_mean,fit_ratio,quad_alignment_corr,quad_increment_skew
InstancesEx1_train/instance0.txt,0.6897321343421936,0.02806207537651062,4.909958839416504,6.341195106506348,0.17152372002601624,2.81545352935791,7.90596866607666,-0.03891957551240921,87.5372085571289,0.5649999976158142,-0.21462462842464447,-0.9316199421882629
InstancesEx1_train/instance1.txt,0.6353568434715271,0.019842982292175293,5.684621810913086,8.347044944763184,-0.03400163725018501,2.7484636306762695,7.443803787231445,0.02647155150771141,119.21090698242188,0.699999988079071,0.08714397996664047,1.6629643440246582
InstancesEx1_train/instance10.txt,0.6015511155128479,0.01785719394683838,4.527164936065674,6.058114528656006,0.18393436074256897,2.7841997146606445,6.97576904296875,0.04343469813466072,99.69776153564453,0.6299999952316284,0.151544451713562,0.08807171881198883
InstancesEx1_train/instance100.txt,0.7652717232704163,0.022441595792770386,6.805414199829102,9.880833625793457,0.20117534697055817,3.1614158153533936,8.78490161895752,-0.012807720340788364,106.42643737792969,0.6349999904632568,-0.5452685952186584,-2.075978994369507
InstancesEx1_train/instance101.txt,0.42541640996932983,0.016194283962249756,4.756364822387695,7.37384033203125,-0.09293515980243683,2.4244630336761475,6.264743328094482,0.08399483561515808,110.73839569091797,0.6899999976158142,-0.30886200070381165,-2.6958227157592773
InstancesEx1_train/instance102.txt,0.3620181381702423,0.015953660011291504,3.8657472133636475,4.762680530548096,0.07849352806806564,2.5219080448150635,5.869760036468506,0.051722243428230286,107.76136016845703,0.625,-0.34405195713043213,-1.985866665840149
InstancesEx1_train/instance103.txt,0.4062243700027466,0.025974035263061523,5.669836044311523,8.801875114440918,0.09101906418800354,2.0738842487335205,6.947327613830566,0.018844163045287132,87.29927062988281,0.5600000023841858,-0.1485579013824463,0.31145790219306946
InstancesEx1_train/instance104.txt,0.7134066224098206,0.023965120315551758,4.874171733856201,6.987751483917236,0.07421743124723434,2.5962073802948,6.456326961517334,0.042017217725515366,102.05812072753906,0.6299999952316284,0.2664189338684082,0.186203733086586
InstancesEx1_train/instance105.txt,0.3367190659046173,0.021090805530548096,5.9511308670043945,10.222845077514648,-0.08744151145219803,2.270176410675049,6.018623352050781,0.07310756295919418,102.66448211669922,0.625,-0.2527790069580078,-0.013894034549593925
InstancesEx1_train/instance106.txt,0.2871212065219879,0.016351699829101562,4.873643398284912,9.828962326049805,0.0237316582351923,1.9243723154067993,4.4303765296936035,-0.09065611660480499,113.03501892089844,0.6650000214576721,-0.3916110694408417,-0.1270636022090912
InstancesEx1_train/instance107.txt,0.47661149501800537,0.016216158866882324,6.256742000579834,9.427538871765137,0.059258125722408295,2.3982439041137695,7.484652042388916,0.12357249110937119,119.32310485839844,0.6899999976158142,-0.23563668131828308,-0.14163947105407715
