episode,instance_id,epsilon,total_reward,td_diff_mean,td_diff_max,td_diff_min,network_diff,lost_opportunities,final_profit,n_penalties,n_bonuses,remaining_capacity
65,814,0.99251875,4.055307454482994,0.0,0.0,0.0,0.0,29,11805.0,0,0,203.0
66,663,0.9924,4.4479522734601735,0.0,0.0,0.0,0.0,23,13483.0,2,3,76.0
67,592,0.99228125,4.659023910907305,0.0,0.0,0.0,0.0,27,14224.0,0,0,54.0
68,804,0.9921625,5.264889766370517,0.0,0.0,0.0,0.0,24,16000.0,1,1,28.0
69,963,0.99204375,3.7922738054896645,0.0,0.0,0.0,0.0,29,11191.0,0,0,176.0
70,943,0.991925,6.425633995887594,0.0,0.0,0.0,0.0,23,18750.0,0,0,0.0
71,563,0.99180625,3.7116564417177917,0.0,0.0,0.0,0.0,29,11495.0,0,0,359.0
72,278,0.9916875,3.8095533094228893,0.0,0.0,0.0,0.0,18,12604.0,7,4,20.0
73,63,0.99156875,4.245776031434185,0.0,0.0,0.0,0.0,21,13272.0,4,3,14.0
74,393,0.99145,4.24506312722564,0.0,0.0,0.0,0.0,28,13113.0,0,0,392.0
75,822,0.99133125,5.970277240490006,0.0,0.0,0.0,0.0,17,18830.0,4,3,15.0
76,71,0.9912125,4.511430437622469,0.0,0.0,0.0,0.0,27,13814.0,0,0,141.0
77,88,0.99109375,3.784191538209249,0.0,0.0,0.0,0.0,29,11538.0,0,0,380.0
78,523,0.990975,4.241740268236834,0.0,0.0,0.0,0.0,28,12967.0,0,0,290.0
79,974,0.99085625,4.088917116544934,0.0,0.0,0.0,0.0,28,12876.0,0,0,344.0
80,611,0.9907375,3.3641561109209173,0.0,0.0,0.0,0.0,25,10703.0,4,1,12.0
81,6,0.99061875,4.198688193743693,0.0,0.0,0.0,0.0,17,12780.0,6,5,9.0
82,843,0.9905,3.103887399463807,0.0,0.0,0.0,0.0,17,10754.0,9,4,11.0
83,134,0.99038125,3.775280898876404,0.0,0.0,0.0,0.0,18,12383.0,6,4,5.0
84,877,0.9902625,4.621347277760688,0.0,0.0,0.0,0.0,26,15024.0,0,0,320.0
85,995,0.99014375,7.964646464646464,0.0,0.0,0.0,0.0,18,23655.0,1,1,17.0
86,208,0.990025,7.392462638076673,0.0,0.0,0.0,0.0,19,22754.0,1,1,0.0
87,628,0.98990625,5.50935276177567,0.0,0.0,0.0,0.0,16,15963.0,4,5,48.0
88,147,0.9897875,6.127186512118018,0.0,0.0,0.0,0.0,13,16590.0,4,7,4.0
89,853,0.98966875,5.427886262418637,0.0,0.0,0.0,0.0,15,15844.0,5,5,18.0
90,619,0.98955,4.9335337341349375,0.0,0.0,0.0,0.0,24,14771.0,1,1,0.0
91,897,0.98943125,4.836945972177289,0.0,0.0,0.0,0.0,19,14951.0,0,0,0.0
92,816,0.9893125,3.8309707241910633,0.0,0.0,0.0,0.0,21,11458.0,3,6,29.0
93,738,0.98919375,4.374235214140041,0.0,0.0,0.0,0.0,28,12869.0,0,0,117.0
94,221,0.989075,3.913029315960913,0.0,0.0,0.0,0.0,27,11092.0,0,3,30.0
95,218,0.98895625,6.186846543001685,0.0,0.0,0.0,0.0,20,17751.0,1,3,49.0
96,465,0.9888375,4.409306742640076,0.0,0.0,0.0,0.0,27,13929.0,0,0,339.0
97,237,0.98871875,4.918737407656145,0.0,0.0,0.0,0.0,27,14648.0,0,0,135.0
98,199,0.9886,4.293364928909952,0.0,0.0,0.0,0.0,19,12978.0,5,4,7.0
99,343,0.98848125,6.079756674552213,0.0,0.0,0.0,0.0,24,17990.0,0,0,168.0
100,595,0.9883625,5.380842659644502,0.0,0.0,0.0,0.0,19,16347.0,3,3,38.0
101,76,0.98824375,7.051216305062459,0.0,0.0,0.0,0.0,20,21754.0,1,0,13.0
102,672,0.988125,4.781920158363577,0.08649773,0.2895928,0.004091695,0.121564835,25,14494.0,1,1,1.0
103,689,0.98800625,6.434141274238226,0.058850158,0.35363248,0.00084257126,0.14604418,21,18293.0,1,2,23.0
104,746,0.9878875,3.3816091954022998,0.055559527,0.32404178,6.7442656e-05,0.13903521,24,10297.0,3,3,32.0
105,171,0.98776875,5.342120343839539,0.045485068,0.25514364,0.0001052618,0.13426009,19,14895.0,1,7,11.0
106,453,0.98765,7.407283661877716,0.058597106,0.36441964,0.0011692047,0.13967548,16,22170.0,0,0,0.0
107,756,0.98753125,6.471166892808684,0.04562542,0.24835706,0.00023040175,0.1356562,23,19077.0,0,0,17.0
108,413,0.9874125,3.594251134644478,0.069648854,0.6175391,0.00041550398,0.139874,29,11879.0,0,0,212.0
109,352,0.98729375,4.014824619457316,0.06130049,0.5054375,0.0016432405,0.13696878,19,13946.0,7,1,53.0
110,486,0.987175,6.800165617754223,0.08511833,0.48124552,0.0009174943,0.13818444,20,19624.0,0,3,2.0
111,643,0.98705625,4.884381204500332,0.057939097,0.20429188,0.00028434396,0.13562797,16,15365.0,6,4,13.0
112,64,0.9869375,3.949491525423729,0.048385102,0.6060379,0.0011322498,0.13716836,23,12536.0,3,0,0.0
113,273,0.98681875,5.807957908582703,0.07427667,0.6559768,0.000500828,0.13354713,24,17662.0,0,0,36.0
114,698,0.9867,5.799523647499147,0.1158973,0.5797533,0.016863093,0.13686152,19,16457.0,2,4,2.0
115,410,0.98658125,5.811103874959298,0.059310872,0.51958525,0.00036990643,0.14185716,19,18153.0,3,2,9.0
116,434,0.9864625,4.78891297615361,0.09740008,0.7152473,0.00028711557,0.14389399,13,16755.0,8,4,3.0
117,845,0.98634375,4.020285908781485,0.08344984,0.66779673,0.0015771985,0.14097466,19,12693.0,6,3,19.0
118,767,0.986225,4.093188962626615,0.09362808,0.30656552,0.00018525124,0.1294931,12,12864.0,10,6,3.0
119,573,0.98610625,6.490479499652539,0.07900485,0.62187725,0.0013716221,0.12644263,10,19543.0,8,5,37.0
120,579,0.9859875,5.455076310550765,0.08594426,0.3812691,0.0001591444,0.12240109,16,16743.0,5,4,47.0
121,846,0.98586875,5.809271523178809,0.061493438,0.368232,0.002123952,0.12439848,18,18148.0,4,2,18.0
122,582,0.98575,6.913745019920318,0.116781734,0.48179924,0.0057080686,0.12161108,21,20523.0,0,1,56.0
123,870,0.98563125,4.478779927845194,0.098421134,0.31753314,0.0037999153,0.1215479,14,13046.0,6,8,4.0
124,130,0.9855125,2.764389626818469,0.1082961,0.45492136,0.002875261,0.12166511,32,8741.0,0,0,392.0
125,387,0.98539375,5.4724229366920785,0.088029414,0.5653343,6.070733e-05,0.11915412,24,16812.0,1,0,54.0
126,583,0.985275,5.192713178294572,0.0876895,0.31591004,0.0026397705,0.12062848,16,16424.0,4,5,28.0
127,861,0.98515625,4.325251172136639,0.11126276,0.38405073,0.005527951,0.11200548,22,13811.0,4,1,37.0
128,477,0.9850375,5.612054612054613,0.08428451,0.30360973,0.0008981228,0.11634331,19,16853.0,3,3,22.0
129,621,0.98491875,2.991839220462851,0.08871917,0.2509545,0.00424093,0.10745984,29,8840.0,0,3,67.0
130,664,0.9848,5.943393602225312,0.06470849,0.2588824,0.00061029196,0.10787875,19,16518.0,2,4,28.0
131,460,0.98468125,6.703584347254195,0.07604778,0.3765037,0.00068473816,0.10693014,17,21602.0,4,0,38.0
132,802,0.9845625,6.252453688657783,0.06731105,0.33020568,0.0017873049,0.101466976,16,18008.0,2,6,55.0
133,391,0.98444375,3.6929032258064516,0.09283771,0.3033799,0.00031280518,0.097876586,24,12378.0,4,1,7.0
134,398,0.984325,5.493512164691204,0.09497803,0.29671824,0.0045082867,0.094978936,23,16971.0,0,2,15.0
135,949,0.98420625,5.844259567387688,0.10857556,0.42294765,0.000677228,0.10148266,24,17562.0,0,0,182.0
136,135,0.9840875,3.778076202373516,0.07695917,0.3287815,0.0012581348,0.09217769,19,13058.0,6,3,12.0
137,52,0.98396875,4.60760795065113,0.10414227,0.5317309,4.6253204e-05,0.09016165,27,13445.0,0,0,203.0
138,731,0.98385,6.903588143525741,0.09082473,0.47529325,0.0049881935,0.08955762,21,22126.0,0,0,34.0
139,409,0.98373125,3.8429777916797,0.10117683,0.7646359,0.0033929348,0.08829907,28,12286.0,0,0,175.0
140,548,0.9836125,5.628204304529393,0.08813126,0.49736106,0.00094795227,0.092235334,23,16898.0,0,2,55.0
141,870,0.98349375,2.6169235815021317,0.115018606,0.49908394,0.003955066,0.093168706,32,7979.0,0,0,233.0
142,517,0.983375,2.6593333333333327,0.11170002,0.5102059,0.0035135448,0.09074267,25,9178.0,5,1,35.0
143,913,0.98325625,5.041541038525963,0.10043504,0.36096835,0.0003209114,0.09591785,26,15049.0,0,0,167.0
144,537,0.9831375,5.827396305332868,0.104028456,0.43516022,0.002389729,0.10054346,15,16145.0,4,6,32.0
145,454,0.98301875,7.402447089947091,0.07159987,0.76277685,0.0023044348,0.09969187,21,22385.0,0,0,141.0
146,871,0.9829,8.188691034051859,0.118011035,0.5557356,0.004245043,0.09895336,19,26212.0,0,0,28.0
147,836,0.98278125,4.560708534621577,0.12754779,0.69051003,0.00011396408,0.10401372,27,14161.0,0,0,188.0
148,884,0.9826625,3.599003322259137,0.115286976,0.63919795,0.0014958382,0.10901144,30,10833.0,0,0,404.0
149,97,0.98254375,6.651241074464469,0.09114014,0.4673847,0.0062509775,0.10471517,12,18679.0,4,7,22.0
150,310,0.982425,5.039465308720561,0.1353619,0.7598149,0.0035128593,0.1020222,25,15834.0,0,0,208.0
151,0,0.98230625,5.077364864864864,0.12880607,0.4746592,0.00027608871,0.09897382,26,15029.0,0,0,169.0
152,203,0.9821875,5.963541666666665,0.09771782,0.38205436,0.00090765953,0.101742715,24,18320.0,0,0,21.0
153,756,0.98206875,6.9115332428765255,0.111953855,0.67277455,0.0018646717,0.09631786,19,19196.0,0,4,8.0
154,979,0.98195,4.9730983302411875,0.07825897,0.4789824,0.0004544258,0.092081785,25,16083.0,0,0,233.0
155,804,0.98183125,6.2970384995064155,0.07606343,0.35038894,0.0007479191,0.09060148,13,18225.0,4,7,11.0
156,56,0.9817125,5.476222148320584,0.068295896,0.51636827,0.0020070076,0.09124903,25,16467.0,0,0,47.0
157,237,0.98159375,3.6756212222968436,0.07897882,0.47815686,0.003865838,0.08664512,30,10946.0,0,0,463.0
158,398,0.981475,3.9267623206487845,0.080124736,0.3647232,0.0018408298,0.087933,25,13551.0,3,0,39.0
159,308,0.98135625,3.3852893630779177,0.07091618,0.42123103,7.867813e-05,0.09297147,23,10780.0,4,3,45.0
160,814,0.9812375,4.824768120920646,0.07693327,0.64434654,0.0014573857,0.09068051,16,14336.0,6,5,6.0
161,830,0.98111875,4.12562519296079,0.06965755,0.5625843,0.0005970001,0.09110167,27,13039.0,0,1,1.0
162,619,0.981,4.153707414829661,0.08020053,0.44553632,0.0001244545,0.0886021,16,13035.0,7,5,33.0
163,795,0.98088125,4.927629561484207,0.07001918,0.42677116,0.000446558,0.086499296,26,16069.0,0,0,238.0
164,656,0.9807625,4.854365733113673,0.069587156,0.20676678,0.0010941029,0.087562256,15,14733.0,6,6,15.0
165,383,0.98064375,5.88840579710145,0.08200396,0.5574291,0.00022095442,0.08675694,14,19215.0,6,3,48.0
166,650,0.980525,2.655150554675119,0.07108752,0.2668438,0.0028877258,0.08444328,32,8377.0,0,0,394.0
167,838,0.98040625,4.8336660013306725,0.090144135,0.3934086,0.00032043457,0.079673074,26,14530.0,0,0,125.0
168,720,0.9802875,3.11235595390525,0.07916161,0.30748487,0.00013113022,0.08254701,31,9723.0,0,0,121.0
169,225,0.98016875,3.6659574468085108,0.07905657,0.4309113,0.0017561913,0.082525425,24,11682.0,3,2,17.0
170,589,0.98005,6.291989137813986,0.09660303,0.37997445,5.364418e-05,0.08032697,20,19420.0,3,0,22.0
171,234,0.97993125,6.155429497568882,0.086176164,0.30338514,0.0028329492,0.082927935,20,19298.0,2,1,13.0
172,43,0.9798125,5.232439335887612,0.08179606,0.3637213,0.00031971931,0.0812548,23,16388.0,1,1,34.0
173,331,0.97969375,5.652403049386807,0.10284979,0.27975124,0.00017976761,0.07681229,17,17355.0,4,3,3.0
174,419,0.979575,5.1412148922273015,0.083373904,0.674402,0.0011948347,0.07606043,24,15130.0,0,2,14.0
175,866,0.97945625,5.2928306967351055,0.08231554,0.4756361,0.0015780926,0.07388417,25,15725.0,0,0,95.0
176,99,0.9793375,5.141694915254238,0.0699471,0.26546073,0.0002937317,0.07560533,25,15463.0,1,0,15.0
177,39,0.97921875,5.074544270833333,0.0954055,0.46216595,0.0022969246,0.07639898,24,15589.0,1,1,70.0
178,933,0.9791,8.070013850415512,0.092362374,0.5161104,0.0035424232,0.07454425,17,23595.0,2,1,52.0
179,417,0.97898125,4.515837104072398,0.07525363,0.54646575,0.0022511482,0.073808245,27,13972.0,0,0,282.0
180,484,0.9788625,3.6832950443058743,0.11407604,0.6337464,0.0018411875,0.0729048,29,11223.0,0,0,443.0
181,54,0.97874375,3.9776214833759584,0.06830927,0.567226,0.00017523766,0.072266355,28,12442.0,0,0,280.0
182,207,0.978625,6.236513504033671,0.086839475,0.43633872,0.0029911995,0.07429657,17,16925.0,2,5,49.0
183,47,0.97850625,7.121776036565459,0.0737764,0.45659018,3.528595e-05,0.080838926,18,21814.0,2,2,13.0
184,246,0.9783875,6.06989966555184,0.077480145,0.5647547,0.00018000603,0.07757237,24,18149.0,0,0,125.0
185,262,0.97826875,5.991816693944354,0.081824176,0.59029543,0.00035130978,0.07377387,24,18305.0,0,0,252.0
186,355,0.97815,3.853341780171049,0.06368664,0.39450753,0.00032949448,0.078132704,29,12165.0,0,0,382.0
187,100,0.97803125,5.617676767676768,0.081612,0.52909845,0.00174582,0.07718393,21,15295.0,2,3,26.0
188,524,0.9779125,4.811000959385995,0.0701511,0.5020627,0.0001411438,0.07297415,26,15044.0,0,0,120.0
189,11,0.97779375,3.940516698172653,0.09169352,0.43975854,0.00092339516,0.077861965,18,13142.0,6,4,3.0
190,915,0.977675,2.2492591373065527,0.07215049,0.8311109,0.0006620884,0.079190895,34,6831.0,0,0,842.0
191,897,0.97755625,3.9990294403105793,0.066660814,0.6138737,0.0010662377,0.07887354,29,12361.0,0,0,140.0
192,914,0.9774375,5.220462576292965,0.079743795,0.47626054,0.005721092,0.07636297,23,15940.0,1,2,5.0
193,629,0.97731875,3.6768385718645105,0.06847272,0.2590717,0.00068354607,0.070262015,28,12049.0,0,0,149.0
194,825,0.9772,5.3364102564102565,0.059827488,0.37955236,0.0017495155,0.073395915,16,15609.0,5,5,4.0
195,118,0.97708125,6.1358714043993245,0.08818094,0.37752378,1.835823e-05,0.07433985,13,18427.0,6,5,6.0
196,385,0.9769625,5.165472312703583,0.06775306,0.4403726,0.0013849735,0.077171974,24,16165.0,1,0,9.0
197,511,0.97684375,4.080236764222295,0.07237431,0.28539252,0.00035524368,0.07390714,28,12408.0,0,0,303.0
198,631,0.976725,4.991786447638604,0.05983011,0.32528767,1.7166138e-05,0.06798082,26,14586.0,0,0,259.0
