episode,step,instance_id,action,reward,lost_opportunities,penalties,bonuses,remaining_capacity
50,27,368,0,0.0,15,0,0,983.0
50,28,368,0,0.0,16,0,0,983.0
50,29,368,1,0.2218006209037599,16,0,0,903.0
50,30,368,1,0.27009313556398756,16,0,0,815.0
50,31,368,1,0.25939979303208005,16,0,0,781.0
50,32,368,1,0.3004484304932735,16,0,0,691.0
50,33,368,0,0.0,17,0,0,691.0
50,34,368,0,0.0,18,0,0,691.0
50,35,368,1,0.3121766126250431,18,0,0,622.0
50,36,368,1,0.3370127630217316,18,0,0,568.0
50,37,368,0,0.0,19,0,0,568.0
50,38,368,1,0.3604691272852708,19,0,0,487.0
50,39,368,0,0.0,20,0,0,487.0
50,40,368,0,0.0,21,0,0,487.0
50,41,368,1,0.38151086581579857,21,0,0,475.0
50,42,368,0,0.0,22,0,0,475.0
50,43,368,1,0.3963435667471542,22,0,0,444.0
50,44,368,1,0.43083822007588823,22,0,0,353.0
50,45,368,1,0.43083822007588823,22,0,0,262.0
50,46,368,0,0.0,23,0,0,262.0
50,47,368,0,0.0,24,0,0,262.0
50,48,368,0,0.0,25,0,0,262.0
50,49,368,1,0.5094860296654019,25,0,0,187.0
75,0,88,1,0.027550016398819287,0,0,0,1478.0
75,1,88,0,0.0,1,0,0,1478.0
75,2,88,1,0.03837323712692686,1,0,0,1459.0
75,3,88,1,0.06297146605444408,1,0,0,1446.0
75,4,88,0,0.0,2,0,0,1446.0
75,5,88,1,0.08232207281075762,2,0,0,1430.0
75,6,88,0,0.0,3,0,0,1430.0
75,7,88,1,0.084289931124959,3,0,0,1399.0
75,8,88,0,0.0,4,0,0,1399.0
75,9,88,0,0.0,5,0,0,1399.0
75,10,88,0,0.0,6,0,0,1399.0
75,11,88,0,0.0,7,0,0,1399.0
75,12,88,0,0.0,8,0,0,1399.0
75,13,88,0,0.0,9,0,0,1399.0
75,14,88,1,0.12331912102328632,9,0,0,1333.0
75,15,88,0,0.0,10,0,0,1333.0
75,16,88,0,0.0,11,0,0,1333.0
75,17,88,1,0.0898655296818629,11,0,0,1287.0
75,18,88,1,0.15250901935060676,11,0,0,1248.0
75,19,88,0,0.0,12,0,0,1248.0
75,20,88,0,0.0,13,0,0,1248.0
75,21,88,1,0.15054116103640539,13,0,0,1178.0
75,22,88,1,0.2049852410626435,13,0,0,1098.0
75,23,88,1,0.16595605116431617,13,0,0,1006.0
75,24,88,0,0.0,14,0,0,1006.0
75,25,88,0,0.0,15,0,0,1006.0
75,26,88,0,0.0,16,0,0,1006.0
75,27,88,0,0.0,17,0,0,1006.0
75,28,88,0,0.0,18,0,0,1006.0
75,29,88,1,0.19973761889143982,18,0,0,936.0
75,30,88,0,0.0,19,0,0,936.0
75,31,88,1,0.2072810757625451,19,0,0,849.0
75,32,88,0,0.0,20,0,0,849.0
75,33,88,1,0.2673007543456871,20,0,0,777.0
75,34,88,0,0.0,21,0,0,777.0
75,35,88,1,0.2705805182026894,21,0,0,719.0
75,36,88,1,0.2738602820596917,21,0,0,642.0
75,37,88,0,0.0,22,0,0,642.0
75,38,88,1,0.2463102656608724,22,0,0,625.0
75,39,88,0,0.0,23,0,0,625.0
75,40,88,0,0.0,24,0,0,625.0
75,41,88,1,0.2072810757625451,24,0,0,569.0
75,42,88,1,0.29845851098720894,24,0,0,553.0
75,43,88,1,0.2800918333879961,24,0,0,464.0
75,44,88,0,0.0,25,0,0,464.0
