episode,instance,epsilon,reward,diff,best_action
0,InstancesEx1_200/instance119.txt,0.999,3.8353503291190183,14.38310080214148,20
1,InstancesEx1_200/instance102.txt,0.998001,2.7206769546124936,6.431145008430242,20
2,InstancesEx1_200/instance114.txt,0.997002999,4.032933718887622,-3.7344493797146727,20
3,InstancesEx1_200/instance110.txt,0.996005996001,5.224155776943788,0.33137690350018456,20
4,InstancesEx1_200/instance141.txt,0.995009990004999,3.94774240419791,8.777198733543614,20
5,InstancesEx1_200/instance128.txt,0.994014980014994,3.7711014811461108,6.004809624380364,20
6,InstancesEx1_200/instance105.txt,0.993020965034979,4.109078574451755,4.621471810612033,20
7,InstancesEx1_200/instance119.txt,0.9920279440699441,2.793186264003537,-9.502666397129275,20
8,InstancesEx1_200/instance121.txt,0.9910359161258742,2.893780481075374,-4.398133505130681,20
9,InstancesEx1_200/instance115.txt,0.9900448802097482,3.493074559719967,4.408416354210781,20
10,InstancesEx1_200/instance136.txt,0.9890548353295385,4.517658070405938,2.893838123163201,20
0,InstancesEx1_200/instance140.txt,0.999,4.302079628825315,3.7021387923957194,15
1,InstancesEx1_200/instance108.txt,0.998001,5.309820439773414,6.007474389034126,15
2,InstancesEx1_200/instance115.txt,0.997002999,4.22195021421427,4.730133991546576,15
3,InstancesEx1_200/instance108.txt,0.996005996001,5.37430920835099,5.661391344028328,15
4,InstancesEx1_200/instance14.txt,0.995009990004999,4.056669514701714,-4.598828036262641,15
5,InstancesEx1_200/instance0.txt,0.994014980014994,4.790559092554917,5.640703955683579,15
6,InstancesEx1_200/instance14.txt,0.993020965034979,4.101705532596459,4.899370592162957,15
7,InstancesEx1_200/instance115.txt,0.9920279440699441,4.233351148274685,2.471374667790676,15
8,InstancesEx1_200/instance109.txt,0.9910359161258742,3.8947159560074307,5.606833627973984,15
9,InstancesEx1_200/instance137.txt,0.9900448802097482,4.201128058752995,3.3743661573743635,15
10,InstancesEx1_200/instance132.txt,0.9890548353295385,2.883648148120185,21.19100402885749,15
11,InstancesEx1_200/instance124.txt,0.988065780494209,4.146618380256233,2.0303053996043774,15
12,InstancesEx1_200/instance127.txt,0.9870777147137147,4.896560103646295,2.9150998899851013,15
13,InstancesEx1_200/instance101.txt,0.986090636999001,2.203640612910585,-4.649576035191222,15
14,InstancesEx1_200/instance105.txt,0.9851045463620021,3.808085384947961,1.4489237695762567,15
15,InstancesEx1_200/instance122.txt,0.98411944181564,4.414427874525718,8.163356421431235,15
16,InstancesEx1_200/instance128.txt,0.9831353223738244,3.7010998150770478,6.8854324242536835,15
17,InstancesEx1_200/instance109.txt,0.9821521870514506,3.100039830480206,21.635207524572003,15
18,InstancesEx1_200/instance115.txt,0.9811700348643991,4.270058561471249,9.275586534646298,15
19,InstancesEx1_200/instance116.txt,0.9801888648295347,5.097067769824139,9.02242177373039,15
20,InstancesEx1_200/instance120.txt,0.9792086759647052,2.9072586585890487,1.5727097083937362,15
21,InstancesEx1_200/instance124.txt,0.9782294672887405,4.0766265588806165,12.631722231488038,15
22,InstancesEx1_200/instance10.txt,0.9772512378214517,2.3970369379236107,18.56150761053103,15
23,InstancesEx1_200/instance140.txt,0.9762739865836303,4.286369541208077,3.686428704778481,15
24,InstancesEx1_200/instance122.txt,0.9752977125970467,2.6841858728577797,3.833380590265006,15
25,InstancesEx1_200/instance103.txt,0.9743224148844496,2.1951395762305053,3.859984208379248,15
26,InstancesEx1_200/instance137.txt,0.9733480924695651,3.6725769013575187,6.040497300069677,15
27,InstancesEx1_200/instance126.txt,0.9723747443770956,3.0172478216598635,8.356483604283154,15
28,InstancesEx1_200/instance122.txt,0.9714023696327185,2.6628122432877723,3.812006960694999,15
29,InstancesEx1_200/instance14.txt,0.9704309672630859,4.019954712854961,-0.17965647412624008,15
30,InstancesEx1_200/instance14.txt,0.9694605362958227,3.397126892414753,5.574616649952595,15
31,InstancesEx1_200/instance123.txt,0.9684910757595269,3.37996382177402,4.756627864246859,15
32,InstancesEx1_200/instance12.txt,0.9675225846837673,3.6546223379311478,3.7907836801943695,15
33,InstancesEx1_200/instance103.txt,0.9665550620990835,4.443327786427643,4.0538294334231875,15
34,InstancesEx1_200/instance105.txt,0.9655885070369844,3.808085384947961,-1.7006168931892462,15
35,InstancesEx1_200/instance135.txt,0.9646229185299474,2.591062102587337,4.109393868715877,15
36,InstancesEx1_200/instance128.txt,0.9636582956114175,2.830774071446449,3.879179003468544,15
37,InstancesEx1_200/instance122.txt,0.9626946373158061,3.45871219005725,-2.5725912157044686,15
38,InstancesEx1_200/instance112.txt,0.9617319426784903,1.9914168745041687,-3.596585807228009,15
39,InstancesEx1_200/instance102.txt,0.9607702107358118,2.720752501512925,3.7669230938209695,15
40,InstancesEx1_200/instance119.txt,0.959809440525076,3.9523199193438554,8.88342600988951,15
41,InstancesEx1_200/instance103.txt,0.9588496310845509,4.431377829760385,5.136156739443613,15
42,InstancesEx1_200/instance128.txt,0.9578907814534664,3.923987633413567,9.1332180563872,15
43,InstancesEx1_200/instance117.txt,0.9569328906720129,2.8952321658474407,1.387097681556364,15
44,InstancesEx1_200/instance111.txt,0.9559759577813409,2.3091935870112996,2.9035677072467427,15
45,InstancesEx1_200/instance10.txt,0.9550199818235596,3.2702858680189166,1.10235335764294,15
46,InstancesEx1_200/instance139.txt,0.9540649618417361,4.584281828243225,3.267909314472168,15
47,InstancesEx1_200/instance126.txt,0.9531108968798944,3.0671196539831174,-9.876344625191688,15
48,InstancesEx1_200/instance128.txt,0.9521577859830145,3.5293734491854485,4.886912030079919,15
49,InstancesEx1_200/instance128.txt,0.9512056281970315,3.816107716586683,2.1172202492023446,15
50,InstancesEx1_200/instance126.txt,0.9502544225688344,2.474942604664168,-0.29649837815443547,15
51,InstancesEx1_200/instance129.txt,0.9493041681462656,3.916397518047935,4.424147611984855,15
52,InstancesEx1_200/instance129.txt,0.9483548639781193,3.8006177486273116,4.308367842564232,15
53,InstancesEx1_200/instance11.txt,0.9474065091141411,2.877703259559245,6.925420353980632,15
54,InstancesEx1_200/instance117.txt,0.946459102605027,2.888440848384519,3.17911598185124,15
55,InstancesEx1_200/instance137.txt,0.9455126435024219,3.6586624791633557,6.026582877875514,15
56,InstancesEx1_200/instance123.txt,0.9445671308589195,3.2181466270469654,6.46809226761093,15
57,InstancesEx1_200/instance110.txt,0.9436225637280606,4.687951115669115,1.5614609995497304,15
58,InstancesEx1_200/instance103.txt,0.9426789411643326,5.180085379444602,3.7791933601727514,15
59,InstancesEx1_200/instance102.txt,0.9417362622231683,4.301618912081915,-1.9289990879486023,15
60,InstancesEx1_200/instance10.txt,0.9407945259609451,3.121303168306799,-7.803117188443689,15
61,InstancesEx1_200/instance137.txt,0.9398537314349842,4.348869259508547,-6.848971431104246,15
62,InstancesEx1_200/instance136.txt,0.9389138777035492,4.51743740209005,1.8478447831477895,15
63,InstancesEx1_200/instance126.txt,0.9379749638258457,3.195181870423954,6.287518286668461,15
64,InstancesEx1_200/instance111.txt,0.9370369888620198,3.3611065695669566,5.784139568605653,15
65,InstancesEx1_200/instance126.txt,0.9360999518731578,2.474942604664168,9.86710349715074,15
66,InstancesEx1_200/instance131.txt,0.9351638519212846,3.4419044079674492,4.895144564141155,15
67,InstancesEx1_200/instance116.txt,0.9342286880693633,5.554033475657796,3.4661504800523275,15
68,InstancesEx1_200/instance103.txt,0.933294459381294,4.855607250189231,1.4583279876465065,15
69,InstancesEx1_200/instance136.txt,0.9323611649219127,4.51993965673508,8.93612217474045,15
70,InstancesEx1_200/instance1.txt,0.9314288037569908,2.6008523290386525,-0.3724705393085155,15
71,InstancesEx1_200/instance1.txt,0.9304973749532338,2.6008523290386525,-10.561578434205977,15
72,InstancesEx1_200/instance123.txt,0.9295668775782806,3.3850619898292367,4.185370694205457,15
73,InstancesEx1_200/instance10.txt,0.9286373107007023,3.008850101601926,3.2490125039933595,15
74,InstancesEx1_200/instance135.txt,0.9277086733900016,2.188461195228604,2.2779419678430832,15
75,InstancesEx1_200/instance107.txt,0.9267809647166116,2.8558826584467694,7.313976778472404,15
76,InstancesEx1_200/instance13.txt,0.925854183751895,4.813346567794934,10.578152838394299,15
77,InstancesEx1_200/instance141.txt,0.9249283295681431,3.677240435961904,7.471649711016836,15
78,InstancesEx1_200/instance1.txt,0.9240034012385749,2.601060455896927,5.930388039209915,15
79,InstancesEx1_200/instance105.txt,0.9230793978373364,4.424497515939579,-7.05022629997839,15
80,InstancesEx1_200/instance139.txt,0.9221563184394991,5.123003215418612,5.129225126822893,15
81,InstancesEx1_200/instance122.txt,0.9212341621210596,3.9352247103665783,5.504988609216065,15
82,InstancesEx1_200/instance137.txt,0.9203129279589385,4.24694358840793,-6.950897102204863,15
83,InstancesEx1_200/instance141.txt,0.9193926150309796,3.2246465108380113,3.0505526534304415,15
84,InstancesEx1_200/instance120.txt,0.9184732224159486,3.5645145175305553,12.282200216993445,15
85,InstancesEx1_200/instance118.txt,0.9175547491935327,2.2978388340122096,0.930916336262881,15
86,InstancesEx1_200/instance137.txt,0.9166371944443392,3.9836226176462004,-0.884931974486368,15
87,InstancesEx1_200/instance10.txt,0.9157205572498949,2.5468977036507745,3.9301528277428766,15
88,InstancesEx1_200/instance0.txt,0.914804836692645,4.340493573885237,-5.16302357699367,15
89,InstancesEx1_200/instance119.txt,0.9138900318559524,3.8696963429738256,7.884203159837839,15
90,InstancesEx1_200/instance1.txt,0.9129761418240965,2.601060455896927,7.582277840235306,15
91,InstancesEx1_200/instance135.txt,0.9120631656822724,2.4802071137237536,1.591061202983855,15
92,InstancesEx1_200/instance130.txt,0.9111511025165902,1.915243777000616,4.831180247032354,15
93,InstancesEx1_200/instance127.txt,0.9102399514140735,4.827268057082783,8.81525033018459,15
94,InstancesEx1_200/instance124.txt,0.9093297114626595,-2.0,11.220511436462402,15
